,State,Year,Total Revenues,Total Expenditures,Enrollment,Average Math Score (4th Grade),Average Math Score (8th Grade),Average Reading Score (4th Grade),Average Reading Score (8th Grade),Average Revenue per Student,Average Spend per Student
482,Kentucky,2009,6706922.0,6831006.0,669858.0,238.835902308004,279.284216093787,225.606242400736,266.854019810768,10012.453385642928,10197.692645306915
484,Kentucky,2011,7104589.0,7253850.0,672958.0,240.83070024317,281.608809706829,225.13506287333,268.833963566714,10557.25468751393,10779.053076120648
486,Kentucky,2013,7216175.0,7413896.0,685009.0,241.469926794712,280.64544247634996,224.427540486587,269.616471686598,10534.4236353099,10823.063638579932
488,Kentucky,2015,7548871.0,7554887.0,688475.0,241.72776193105202,277.947260135803,228.05516833276198,267.772900145423,10964.62616652747,10973.364319692073
503,Louisiana,2003,5478321.0,5515322.0,723252.0,226.247729119261,266.328359269062,204.729487524848,253.448288243581,7574.5673707089645,7625.726579394181
505,Louisiana,2005,5975074.0,5941561.0,717625.0,230.23119641348597,267.755030846034,209.165658287644,252.691593269226,8326.178714509668,8279.478836439645
507,Louisiana,2007,7048732.0,6657341.0,662302.0,230.043119251121,272.386299598469,207.40680552969897,253.23829428128897,10642.776256149007,10051.82077058502
509,Louisiana,2009,7984550.0,8053960.0,662774.0,229.432455453722,272.379906697646,207.48613716309399,253.329004007468,12047.168416383262,12151.894914405211
511,Louisiana,2011,8022917.0,8218870.0,665109.0,230.778869270132,272.843333892634,210.410726308503,254.68834784390495,12062.559670670522,12357.177545334675
513,Louisiana,2013,8121179.0,7940880.0,671156.0,231.36630864379,272.76096647842604,210.45496322432098,257.351242737394,12100.28517960057,11831.64569787054
515,Louisiana,2015,8448743.0,8437263.0,661015.0,234.28190182676997,268.432355132751,216.199337216284,255.46941777756905,12781.46940689697,12764.102176198725
529,Maine,2003,2162605.0,2154117.0,203848.0,237.61571038162498,281.903773320764,223.85949380546901,268.323265177592,10608.909579686826,10567.270711510537
531,Maine,2005,2324789.0,2325138.0,198745.0,240.691459684627,281.058540918142,224.57777217037602,269.983443790132,11697.345845178495,11699.10186419784
533,Maine,2007,2538161.0,2501127.0,193539.0,242.370603982666,286.47225311598703,225.54404578474097,269.920153818638,13114.467885025757,12923.11627113915
535,Maine,2009,2623127.0,2624504.0,187372.0,244.45573275395802,286.361425938805,223.790428000088,267.706499608477,13999.567704886536,14006.916721815425
537,Maine,2011,2654366.0,2728535.0,186835.0,244.257016536718,288.73229763660197,222.03733220763698,269.872413013173,14207.006181925228,14603.982123263842
539,Maine,2013,2650346.0,2535405.0,184682.0,245.84700179867198,288.73115973795603,224.83328901991797,269.193764016326,14350.862563758245,13728.49005317248
541,Maine,2015,2739589.0,2596180.0,176176.0,242.24465409976503,284.875476957911,223.728607946102,268.391236298695,15550.296294614476,14736.286440831895
556,Maryland,2003,8700979.0,8732518.0,866743.0,233.079852288453,277.71611251073995,218.67375979261502,261.59573193942504,10038.706975424087,10075.094924331665
558,Maryland,2005,9906219.0,9782665.0,865561.0,238.42170673666402,277.930794576753,220.02958576564998,260.78238344543,11444.853684489019,11302.109267862115
560,Maryland,2007,11674965.0,11541225.0,851640.0,240.32823069137902,285.734265236821,224.78126512650798,265.240121492132,13708.803015358602,13551.764830209948
562,Maryland,2009,13147931.0,12757599.0,843781.0,243.795041028457,288.341565298202,226.047783920533,267.29805648900395,15582.16053691657,15119.561829432045
564,Maryland,2011,13443940.0,13247697.0,851971.0,247.106555813795,287.997802255227,230.78284121169602,271.222896649808,15779.809406658207,15549.469406822533
566,Maryland,2013,13814727.0,13284637.0,859252.0,245.16937954677502,286.641381102957,232.05597314742198,273.801903090503,16077.619836788277,15460.699538668516
568,Maryland,2015,14491642.0,13882823.0,874108.0,239.49975090765,283.149034098785,222.944189619399,267.905529723763,16578.777450841317,15882.27427274433
582,Massachusetts,2003,11591832.0,11382398.0,967200.0,241.664527429109,286.52069448017,227.604259402914,272.90664505005697,11984.937965260546,11768.401571546732
584,Massachusetts,2005,12976279.0,12726283.0,955225.0,247.33704896217003,291.5135411152,231.279439344407,273.716062946534,13584.526158758408,13322.8119029548
586,Massachusetts,2007,14407777.0,14315518.0,945070.0,252.430319790792,297.923344483955,235.753462061818,273.284048809294,15245.195593977165,15147.574253758981
588,Massachusetts,2009,15298022.0,15174814.0,932437.0,252.25478970054797,298.854346618482,233.749463106304,273.58928971871103,16406.49395079775,16274.358482128015
590,Massachusetts,2011,15396681.0,15150898.0,924903.0,253.39645576405,298.512431105164,236.773866580369,275.36851762846,16646.806205623725,16381.066987565184
592,Massachusetts,2013,16114783.0,16201905.0,920968.0,253.03378520177898,300.568235011147,232.37315597277302,277.009559086016,17497.6578990801,17592.25619131175
594,Massachusetts,2015,16985185.0,16972319.0,916130.0,250.56577782628202,296.908571436848,235.27542341879,274.497568115749,18540.14714068964,18526.103282285265
609,Michigan,2003,18488359.0,19680370.0,1764327.0,235.68697467413898,276.441861597672,218.789056709096,264.37829249338796,10478.98660509078,11154.604560265756
611,Michigan,2005,19106382.0,20489512.0,1721351.0,237.70600298851105,277.346681960374,218.260689053895,261.138472348508,11099.643245334624,11903.157461784378
613,Michigan,2007,20576110.0,19839838.0,1686473.0,237.605553465148,276.830517083696,220.11845283265,260.31770609297297,12200.675611171955,11764.100581509458
615,Michigan,2009,19616665.0,19992550.0,1537515.0,236.279719737382,278.268168151681,218.23555034441898,261.898150017122,12758.682029118414,13003.157692770477
617,Michigan,2011,19374026.0,18469948.0,1455966.0,236.40221370650696,280.176517968298,218.860810368135,265.194041240472,13306.647270609341,12685.700078161166
619,Michigan,2013,18270327.0,17468264.0,1381167.0,236.819778402754,280.133597093752,217.36516772931998,265.942963067388,13228.180951325945,12647.466960910591
621,Michigan,2015,19025996.0,17742903.0,1345009.0,235.728893690295,278.168651923457,216.306630194926,264.496755061626,14145.62727833048,13191.661171040492
636,Minnesota,2003,8484497.0,8938770.0,825674.0,241.91229558307705,290.680055978624,222.608962298108,267.711358412271,10275.843734936549,10826.02819030271
638,Minnesota,2005,8777363.0,9082593.0,814660.0,245.746191132071,290.074995791089,225.226578117864,268.35667287108896,10774.265337686888,11148.936979844353
640,Minnesota,2007,9693509.0,10030105.0,810104.0,246.997762406425,291.85111653854,224.917004310155,268.197442761373,11965.758717399247,12381.255986885633
642,Minnesota,2009,10353784.0,11193640.0,800831.0,249.455534206082,294.443320106986,223.336661773101,269.739820132507,12928.800208783126,13977.530839840116
644,Minnesota,2011,10912368.0,10612480.0,798891.0,249.186686145154,294.946422810345,222.30867236980401,270.148960241064,13659.39533678562,13284.014965746266
646,Minnesota,2013,10848720.0,10942019.0,802454.0,253.420961133202,294.592972603507,227.030741772012,271.019654579448,13519.429151079064,13635.696251747764
648,Minnesota,2015,11684249.0,11969872.0,807044.0,249.575846952089,294.147777973073,223.352919981062,270.23681775626204,14477.833922314025,14831.746472311299
